Category: All categories

Month,diet: (Worldwide),gym: (Worldwide),finance: (Worldwide)
2004-01,100,31,49
2004-02,78,28,50
2004-03,73,26,49
2004-04,72,23,48
2004-05,76,24,44
2004-06,67,24,45
2004-07,64,25,46
2004-08,61,28,46
2004-09,58,28,47
2004-10,54,24,45
2004-11,51,24,44
2004-12,45,25,42
2005-01,66,33,45
2005-02,57,28,48
2005-03,59,27,47
2005-04,57,26,45
2005-05,61,26,44
2005-06,55,25,46
2005-07,53,25,45
2005-08,54,29,46
2005-09,48,28,46
2005-10,48,27,44
2005-11,44,26,43
2005-12,40,25,40
2006-01,65,35,46
2006-02,53,30,46
2006-03,52,29,50
2006-04,52,26,47
2006-05,53,27,47
2006-06,54,26,46
2006-07,51,27,45
2006-08,51,32,46
2006-09,47,31,46
2006-10,45,29,47
2006-11,44,28,46
2006-12,39,28,42
2007-01,59,37,49
2007-02,51,34,50
2007-03,52,32,49
2007-04,54,32,49
2007-05,50,32,48
2007-06,50,31,49
2007-07,50,31,52
2007-08,46,32,53
2007-09,47,33,51
2007-10,44,28,53
2007-11,41,28,52
2007-12,36,27,44
2008-01,56,37,55
2008-02,47,31,53
2008-03,46,29,53
2008-04,49,30,54
2008-05,46,27,50
2008-06,45,28,52
2008-07,45,29,53
2008-08,45,32,50
2008-09,43,33,64
2008-10,44,30,76
2008-11,42,29,60
2008-12,38,28,53
2009-01,55,37,56
2009-02,47,31,58
2009-03,49,30,63
2009-04,51,29,60
2009-05,50,29,56
2009-06,49,28,56
2009-07,49,29,58
2009-08,48,32,58
2009-09,46,31,60
2009-10,46,29,57
2009-11,44,29,53
2009-12,40,28,48
2010-01,60,37,53
2010-02,53,33,54
2010-03,52,31,56
2010-04,53,30,58
2010-05,53,30,55
2010-06,51,30,55
2010-07,50,31,53
2010-08,50,33,52
2010-09,49,33,54
2010-10,47,29,52
2010-11,44,29,51
2010-12,41,29,47
2011-01,62,40,52
2011-02,54,35,51
2011-03,56,34,53
2011-04,60,32,52
2011-05,58,33,51
2011-06,56,33,49
2011-07,55,32,50
2011-08,54,34,60
2011-09,52,36,53
2011-10,49,34,51
2011-11,49,35,49
2011-12,46,33,43
2012-01,67,43,47
2012-02,60,40,50
2012-03,58,37,49
2012-04,59,36,46
2012-05,56,35,50
2012-06,55,37,46
2012-07,57,38,46
2012-08,56,38,46
2012-09,54,38,48
2012-10,49,36,48
2012-11,46,35,44
2012-12,42,34,41
2013-01,66,45,47
2013-02,59,40,49
2013-03,59,40,47
2013-04,62,38,48
2013-05,57,38,49
2013-06,56,38,46
2013-07,57,38,46
2013-08,55,42,47
2013-09,52,42,48
2013-10,48,40,49
2013-11,46,39,44
2013-12,43,37,41
2014-01,64,49,48
2014-02,55,44,48
2014-03,56,43,48
2014-04,55,41,48
2014-05,52,41,46
2014-06,53,40,45
2014-07,50,40,47
2014-08,47,42,46
2014-09,47,43,51
2014-10,45,39,49
2014-11,43,40,45
2014-12,40,39,43
2015-01,58,52,46
2015-02,49,45,48
2015-03,52,45,47
2015-04,52,43,47
2015-05,50,43,44
2015-06,49,44,46
2015-07,47,43,49
2015-08,47,46,49
2015-09,45,47,51
2015-10,43,42,46
2015-11,41,42,44
2015-12,38,42,43
2016-01,54,54,45
2016-02,50,49,48
2016-03,49,48,45
2016-04,51,48,44
2016-05,49,46,43
2016-06,46,48,46
2016-07,45,59,42
2016-08,46,55,43
2016-09,44,52,45
2016-10,42,46,43
2016-11,40,46,45
2016-12,37,45,40
2017-01,56,60,44
2017-02,59,53,45
2017-03,53,51,47
2017-04,51,49,43
2017-05,50,50,46
2017-06,49,52,43
2017-07,52,53,45
2017-08,48,53,44
2017-09,46,52,49
2017-10,45,49,48
2017-11,44,49,49
2017-12,41,47,53
2018-01,61,62,57
2018-02,56,53,51
2018-03,56,53,51
2018-04,60,51,49
2018-05,57,50,47
2018-06,54,50,46
2018-07,56,53,47
2018-08,53,53,48
2018-09,48,52,47
2018-10,47,49,51
