Category: All categories

Month,boil water: (United States),flood: (United States)
2004-01,1,25
2004-02,1,26
2004-03,1,28
2004-04,1,28
2004-05,1,31
2004-06,1,29
2004-07,1,29
2004-08,1,35
2004-09,2,55
2004-10,1,31
2004-11,1,30
2004-12,1,27
2005-01,2,39
2005-02,2,27
2005-03,1,26
2005-04,1,29
2005-05,1,27
2005-06,2,26
2005-07,1,27
2005-08,1,39
2005-09,1,87
2005-10,2,46
2005-11,1,28
2005-12,1,27
2006-01,2,30
2006-02,1,25
2006-03,1,30
2006-04,1,33
2006-05,1,34
2006-06,1,43
2006-07,1,30
2006-08,1,29
2006-09,1,26
2006-10,1,27
2006-11,1,28
2006-12,1,22
2007-01,1,23
2007-02,1,25
2007-03,1,26
2007-04,1,32
2007-05,1,28
2007-06,1,32
2007-07,1,34
2007-08,1,36
2007-09,1,26
2007-10,2,25
2007-11,1,24
2007-12,1,28
2008-01,2,26
2008-02,1,24
2008-03,1,31
2008-04,1,29
2008-05,1,25
2008-06,2,78
2008-07,1,28
2008-08,1,29
2008-09,2,36
2008-10,1,23
2008-11,2,23
2008-12,2,23
2009-01,2,27
2009-02,2,23
2009-03,2,43
2009-04,2,31
2009-05,1,27
2009-06,1,25
2009-07,1,23
2009-08,2,24
2009-09,2,45
2009-10,2,30
2009-11,2,25
2009-12,2,22
2010-01,2,26
2010-02,2,25
2010-03,2,37
2010-04,2,33
2010-05,3,64
2010-06,2,40
2010-07,2,30
2010-08,2,32
2010-09,2,31
2010-10,2,26
2010-11,3,22
2010-12,2,24
2011-01,3,35
2011-02,3,25
2011-03,3,38
2011-04,3,39
2011-05,3,70
2011-06,3,51
2011-07,4,31
2011-08,3,49
2011-09,5,52
2011-10,3,31
2011-11,3,27
2011-12,3,23
2012-01,4,25
2012-02,3,22
2012-03,3,25
2012-04,2,23
2012-05,3,23
2012-06,3,29
2012-07,4,24
2012-08,3,29
2012-09,3,25
2012-10,3,39
2012-11,3,34
2012-12,3,23
2013-01,3,25
2013-02,4,23
2013-03,3,24
2013-04,3,36
2013-05,2,30
2013-06,4,38
2013-07,3,33
2013-08,3,29
2013-09,4,57
2013-10,3,30
2013-11,3,27
2013-12,3,22
2014-01,4,24
2014-02,3,27
2014-03,3,27
2014-04,3,28
2014-05,5,33
2014-06,3,28
2014-07,3,31
2014-08,3,33
2014-09,4,34
2014-10,3,25
2014-11,3,22
2014-12,3,26
2015-01,3,23
2015-02,3,22
2015-03,3,26
2015-04,3,26
2015-05,3,57
2015-06,3,45
2015-07,5,32
2015-08,4,29
2015-09,4,33
2015-10,4,48
2015-11,4,29
2015-12,3,40
2016-01,4,32
2016-02,4,25
2016-03,3,32
2016-04,3,37
2016-05,4,30
2016-06,3,39
2016-07,3,29
2016-08,4,63
2016-09,5,36
2016-10,4,41
2016-11,4,32
2016-12,3,25
2017-01,4,39
2017-02,4,42
2017-03,4,28
2017-04,4,32
2017-05,3,35
2017-06,3,28
2017-07,4,37
2017-08,4,100
2017-09,8,87
2017-10,6,32
2017-11,5,27
2017-12,4,23
2018-01,6,30
2018-02,4,35
2018-03,4,30
2018-04,3,30
2018-05,3,39
2018-06,4,33
2018-07,5,38
2018-08,4,40
2018-09,4,60
2018-10,4,37
